Product,Price,Quantity,Date
Live Aquarium Plants - Amazon Sword,30.39,10,2024-06-08
Brine Shrimp,112.04,8,2024-07-04
Aquarium Filter - Medium,88.01,12,2024-08-31
Ceramic Ornaments,173.38,7,2024-04-22
Bacterial Supplement,23.1,4,2023-09-25
Quarantine Tank,78.46,1,2024-09-04
Fish Tank - 50 Gallon,87.41,10,2023-10-29
Quarantine Tank,94.65,3,2023-12-07
Neon Tetra,171.13,10,2023-10-14
Decorative Rocks,121.96,15,2024-09-12
Live Aquarium Plants - Java Fern,130.81,2,2023-11-20
Quarantine Tank,56.72,16,2024-04-29
Algae Scrubber,98.75,16,2024-08-07
pH Adjuster,181.23,12,2024-04-05
Betta Fish,102.86,12,2023-11-28
Brine Shrimp,108.52,2,2024-09-09
Bio Balls,11.27,10,2024-04-23
Aquarium Heater,197.26,15,2024-08-16
Thermometer,23.23,4,2024-01-20
Siamese Algae Eater,22.84,1,2024-07-21
Automatic Fish Feeder,142.1,7,2024-01-02
Ceramic Ornaments,192.63,9,2024-05-11
Fish Tank - 50 Gallon,146.48,1,2024-02-15
Ceramic Ornaments,118.42,11,2024-04-12
Fish Tank - 10 Gallon,197.35,17,2024-04-10
Quarantine Tank,168.33,6,2024-01-04
Aquarium Stand,150.95,1,2024-02-14
Check Valve,57.04,8,2024-07-18
Fish Food Pellets,173.53,12,2024-09-03
Betta Tank,141.63,1,2024-03-31
Filter Cartridges,133.76,2,2023-10-24
Siamese Algae Eater,50.59,13,2024-03-04
Aquarium Stand,155.43,7,2023-10-09
Check Valve,83.79,5,2024-09-19
Live Aquarium Plants - Amazon Sword,193.39,8,2024-05-30
Ceramic Ornaments,61.89,6,2024-02-22
Aquarium Filter - Large,137.31,13,2023-11-28
Angelfish,40.41,15,2024-04-01
Sand Substrate,192.23,5,2024-08-18
Automatic Fish Feeder,115.58,15,2023-12-06
Otocinclus Catfish,15.95,3,2024-04-03
Fish Net,103.64,16,2024-06-13
Otocinclus Catfish,118.02,8,2023-11-22
Live Aquarium Plants - Java Fern,124.3,17,2024-06-17
Fish Food Pellets,20.81,19,2024-07-23
Ceramic Ornaments,9.5,13,2023-12-31
LED Aquarium Light,12.16,10,2023-11-01
Thermometer,165.59,6,2024-08-11
Sand Substrate,9.29,1,2024-02-04
Decorative Rocks,118.8,13,2024-05-05
Air Pump,133.67,16,2023-11-25
Live Aquarium Plants - Anubias,73.01,15,2024-04-23
Molly,25.43,9,2024-01-30
Sand Substrate,41.01,10,2023-10-12
Aquarium Filter - Medium,167.84,19,2023-11-26
Water Test Kit,62.44,4,2024-07-11
Gravel Substrate,52.06,11,2024-04-30
Automatic Fish Feeder,34.97,15,2024-05-10
Aquarium Stand,40.35,19,2024-07-06
Platy,30.29,4,2024-05-06
Air Pump,197.38,16,2023-09-30
Otocinclus Catfish,55.42,4,2023-10-11
Gravel Vacuum,61.69,13,2024-05-20
Sand Substrate,190.35,13,2024-02-04
Fish Tank - 20 Gallon,86.48,6,2024-01-28
Frozen Bloodworms,42.73,19,2024-05-31
Frozen Bloodworms,20.04,20,2023-12-13
Neon Tetra,167.83,19,2024-06-21
Algae Scrubber,25.16,12,2024-06-23
Algae Wafers,51.72,6,2023-12-15
Filter Cartridges,101.6,8,2023-11-09
Automatic Fish Feeder,47.88,7,2023-12-26
Breeding Box,107.78,9,2024-05-06
Air Stone,79.13,16,2024-07-01
LED Aquarium Light,101.24,3,2024-01-22
Live Aquarium Plants - Anubias,185.04,13,2023-12-20
Ammonia Remover,176.31,9,2024-02-08
Molly,22.2,4,2024-05-21
Corydoras Catfish,147.33,7,2024-06-05
Live Aquarium Plants - Java Fern,98.1,12,2024-02-02
Thermometer,188.82,12,2024-09-06
Fish Net,164.72,18,2024-04-24
Live Aquarium Plants - Anubias,156.64,8,2024-04-14
Rainbow Shark,181.39,1,2023-11-28
Check Valve,182.31,19,2024-09-11
Gravel Vacuum,80.35,10,2024-08-09
Live Aquarium Plants - Amazon Sword,190.14,8,2024-07-06
Fish Net,62.95,5,2024-09-15
Zebra Danio,51.52,2,2024-02-08
Angelfish,66.73,6,2023-12-12
pH Adjuster,179.42,13,2024-01-20
Gravel Vacuum,140.26,7,2024-03-12
Guppy,156.25,20,2024-07-02
Decorative Rocks,116.23,17,2024-03-06
Decorative Rocks,128.31,7,2023-11-04
Aquarium Stand,57.94,8,2024-02-24
Fish Tank - 50 Gallon,124.27,7,2024-08-23
Water Conditioner,24.18,4,2024-03-08
Molly,51.74,18,2023-10-13
Aquarium Heater,72.06,5,2024-09-04
Aquarium Filter - Small,187.88,3,2024-01-10
Corydoras Catfish,113.71,11,2024-04-30
Guppy,48.94,16,2024-03-26
LED Aquarium Light,189.0,11,2024-04-26
Guppy,83.13,15,2024-08-02
Cherry Barb,157.39,12,2024-07-16
Sand Substrate,112.88,19,2024-05-13
Decorative Rocks,71.34,10,2024-05-16
Ceramic Ornaments,77.14,18,2023-11-04
Check Valve,121.89,15,2024-06-19
Algae Control,158.36,7,2024-07-12
Fish Tank - 5 Gallon,110.28,12,2024-06-04
Fish Net,92.85,16,2024-06-03
Aquarium Filter - Small,162.62,5,2024-05-01
Live Aquarium Plants - Anubias,155.64,7,2023-10-06
Live Aquarium Plants - Java Fern,56.91,8,2024-01-28
Aquarium Filter - Small,12.05,16,2023-12-29
Cherry Barb,63.44,1,2024-02-13
Fish Tank - 5 Gallon,30.59,14,2023-10-16
Air Stone,187.55,14,2024-09-03
Discus,199.85,9,2024-05-04
Check Valve,101.08,3,2023-12-17
Guppy,150.07,3,2024-06-22
pH Adjuster,144.6,1,2024-09-07
Automatic Fish Feeder,152.24,3,2024-07-10
Fish Tank - 5 Gallon,48.91,1,2024-01-09
Betta Tank,59.02,7,2024-03-31
pH Adjuster,106.42,12,2024-01-27
Water Test Kit,158.22,14,2024-04-16
Air Pump,27.77,15,2024-06-09
Betta Fish,162.24,16,2024-04-23
Fish Net,199.03,11,2024-04-08
Brine Shrimp,17.32,12,2024-06-05
LED Aquarium Light,121.21,11,2023-12-19
Guppy,118.62,20,2024-07-14
Siamese Algae Eater,23.77,17,2024-07-07
Water Conditioner,131.21,16,2024-03-04
Air Pump,150.1,2,2023-10-07
Algae Scrubber,135.3,7,2024-05-13
Bio Balls,95.66,6,2024-07-20
Rainbow Shark,69.26,1,2024-02-05
Breeding Box,130.38,2,2023-11-17
Fish Food Flakes,77.76,18,2024-01-10
Aquarium Moss,68.9,11,2024-04-25
Automatic Fish Feeder,141.49,9,2023-10-23
Clown Loach,168.43,2,2023-12-20
Bacterial Supplement,29.13,1,2024-06-24
Automatic Fish Feeder,181.35,11,2024-01-28
Aquarium Filter - Small,14.54,19,2023-11-16
Neon Tetra,168.75,19,2024-03-27
Live Aquarium Plants - Java Fern,10.63,7,2024-02-05
Fish Tank - 5 Gallon,73.76,20,2024-07-10
Gravel Vacuum,193.18,18,2023-11-12
Air Pump,156.18,12,2024-07-15
Zebra Danio,35.91,20,2023-10-07
LED Aquarium Light,103.34,4,2024-02-09
Betta Fish,157.1,19,2024-04-26
Quarantine Tank,141.94,16,2023-11-20
pH Adjuster,137.3,20,2024-06-03
pH Adjuster,114.42,16,2024-01-04
Molly,78.12,20,2023-10-26
Betta Tank,7.0,12,2023-09-27
Brine Shrimp,16.55,1,2024-01-31
Fish Food Flakes,98.78,9,2024-01-02
Water Test Kit,77.36,3,2023-11-22
Gravel Vacuum,31.39,17,2023-10-03
Check Valve,173.83,8,2024-07-27
Guppy,29.23,19,2024-03-23
Fish Tank - 5 Gallon,97.1,10,2024-06-17
Air Stone,112.12,16,2024-07-20
Ceramic Ornaments,21.54,10,2024-01-16
Bio Balls,85.68,1,2024-09-07
Quarantine Tank,184.1,20,2024-09-08
Fish Tank - 20 Gallon,40.43,8,2024-09-04
Aquarium Filter - Small,38.19,14,2024-05-27
Aquarium Filter - Large,167.65,11,2024-07-16
Algae Control,35.15,10,2024-07-14
Live Aquarium Plants - Java Fern,116.69,15,2023-11-12
Frozen Bloodworms,24.4,3,2024-08-24
Quarantine Tank,21.7,11,2024-04-13
Molly,23.2,9,2024-04-04
Ceramic Ornaments,60.63,11,2024-02-02
Frozen Bloodworms,110.74,2,2023-11-22
Artificial Plants,147.24,11,2024-01-25
Aquarium Heater,34.03,19,2023-11-08
Automatic Fish Feeder,111.2,20,2024-07-23
Ceramic Ornaments,183.43,15,2024-02-11
Water Conditioner,81.52,12,2024-01-17
Bacterial Supplement,25.22,1,2024-08-15
Air Stone,28.64,4,2023-11-21
Fish Tank - 50 Gallon,64.38,8,2024-04-29
Water Test Kit,53.56,2,2024-04-10
Betta Tank,99.44,13,2024-05-12
Bio Balls,192.6,20,2024-04-12
Ammonia Remover,81.68,20,2024-05-02
Aquarium Stand,12.67,7,2024-08-04
Water Test Kit,72.53,2,2023-10-31
Otocinclus Catfish,132.85,10,2024-04-28
Algae Wafers,44.49,12,2024-04-18
Water Test Kit,77.75,16,2024-02-08
Discus,51.04,8,2024-09-04
Neon Tetra,28.79,5,2023-12-14
Brine Shrimp,188.56,19,2024-09-16
Algae Control,197.01,12,2024-01-19
Angelfish,128.73,5,2023-09-26
Bio Balls,168.06,19,2024-07-30
Live Aquarium Plants - Java Fern,197.49,11,2023-11-12
Zebra Danio,188.33,17,2023-10-21
Breeding Box,187.86,13,2024-08-06
Aquarium Stand,196.63,2,2024-05-05
Betta Tank,97.96,3,2023-11-20
Discus,112.63,2,2024-07-28
Fish Tank - 5 Gallon,184.5,14,2024-01-14
Discus,74.87,13,2024-02-13
Aquarium Moss,55.57,9,2024-06-26
Aquarium Filter - Small,48.85,9,2024-09-13
Fish Tank - 50 Gallon,10.45,18,2023-10-14
Betta Fish,110.65,5,2024-03-11
Betta Tank,19.23,2,2024-05-16
Molly,5.01,1,2024-02-10
Live Aquarium Plants - Amazon Sword,167.86,17,2023-10-20
Algae Wafers,142.3,16,2023-12-04
Ammonia Remover,72.21,11,2024-02-21
LED Aquarium Light,36.57,9,2024-06-17
Clown Loach,103.65,10,2024-04-05
Aquarium Filter - Large,68.6,18,2024-03-25
Siamese Algae Eater,87.03,13,2024-04-16
Gravel Vacuum,76.37,14,2024-02-26
Fish Food Flakes,159.95,17,2024-01-15
Driftwood,72.85,4,2023-10-08
Water Test Kit,183.03,18,2024-08-21
Fish Food Pellets,44.32,3,2023-10-25
Discus,64.43,12,2023-10-18
Aquarium Moss,49.54,12,2023-11-03
Platy,62.96,12,2024-03-21
Live Aquarium Plants - Anubias,72.86,17,2024-01-07
Betta Fish,28.51,7,2024-03-13
Siamese Algae Eater,117.36,6,2024-09-20
Live Aquarium Plants - Java Fern,138.52,6,2023-10-22
Ceramic Ornaments,152.11,19,2023-11-05
Breeding Box,164.46,8,2024-02-24
Ceramic Ornaments,52.5,12,2024-07-16
Guppy,128.75,8,2024-07-21
Check Valve,62.1,3,2024-08-06
Zebra Danio,41.27,13,2024-07-12
Algae Wafers,164.52,8,2023-09-25
Otocinclus Catfish,10.98,15,2023-12-12
Gravel Substrate,131.34,18,2024-03-16
Driftwood,149.71,9,2024-05-21
Algae Wafers,40.33,7,2024-06-04
Siamese Algae Eater,111.24,2,2024-04-11
Aquarium Filter - Large,185.49,15,2023-11-09
Betta Fish,79.37,13,2024-04-02
Fish Tank - 10 Gallon,20.37,15,2024-05-21
Goldfish,8.11,8,2024-08-15
Aquarium Filter - Medium,104.08,12,2024-09-20
Algae Control,106.66,11,2023-12-09
Driftwood,11.86,3,2024-01-26
Aquarium Filter - Medium,56.2,14,2024-01-06
Algae Wafers,144.65,3,2024-03-12
Aquarium Moss,91.2,13,2023-11-29
Air Stone,64.01,18,2024-03-14
Check Valve,75.85,14,2024-08-11
Betta Fish,79.91,20,2024-08-27
Live Aquarium Plants - Java Fern,184.4,12,2024-04-18
Neon Tetra,46.11,16,2024-06-14
Betta Tank,84.9,19,2023-12-18
Platy,37.03,4,2023-10-02
Rainbow Shark,158.53,7,2024-06-30
Brine Shrimp,104.91,4,2023-12-04
Guppy,28.24,20,2023-09-27
Fish Tank - 20 Gallon,82.74,6,2024-09-03
Bio Balls,88.67,15,2023-11-29
Driftwood,58.61,9,2024-07-02
Breeding Box,97.52,12,2024-03-17
Guppy,99.51,1,2023-11-20
Aquarium Heater,136.5,2,2023-12-13
Air Stone,103.51,15,2024-07-06
Live Aquarium Plants - Anubias,142.32,12,2024-08-30
Betta Tank,162.52,2,2024-04-01
Aquarium Filter - Small,148.79,3,2023-12-19
Betta Fish,14.37,9,2024-03-03
Aquarium Heater,190.51,2,2024-03-27
Neon Tetra,12.16,19,2024-04-13
Aquarium Filter - Small,20.3,15,2024-05-09
pH Adjuster,39.78,18,2024-01-19
Siamese Algae Eater,80.42,10,2024-03-25
Platy,40.65,11,2024-05-02
Fish Food Pellets,123.77,10,2024-02-05
Ceramic Ornaments,71.18,4,2023-11-11
Fish Tank - 20 Gallon,119.32,19,2024-07-08
Fish Tank - 20 Gallon,13.53,4,2024-09-10
Ammonia Remover,48.57,15,2023-11-22
Frozen Bloodworms,86.0,2,2023-12-05
Water Test Kit,66.3,14,2024-01-16
Live Aquarium Plants - Anubias,184.54,4,2023-10-31
Fish Tank - 50 Gallon,75.94,1,2023-09-29
Molly,8.97,12,2024-05-05
Quarantine Tank,197.35,9,2024-05-18
Sand Substrate,188.41,18,2024-01-07
Platy,28.53,1,2024-08-20
Filter Cartridges,140.72,16,2024-01-04
Live Aquarium Plants - Anubias,124.11,16,2024-03-01
Discus,158.54,16,2024-09-07
Bio Balls,135.14,6,2024-02-02
Fish Tank - 10 Gallon,68.61,3,2024-09-15
Fish Net,27.78,19,2024-03-29
Air Stone,132.4,15,2024-07-08
Zebra Danio,14.73,7,2024-04-06
Driftwood,14.31,2,2024-02-01
Water Test Kit,107.95,1,2024-05-16
Molly,154.68,17,2023-12-14
Fish Tank - 5 Gallon,194.25,20,2024-07-05
Water Test Kit,105.53,17,2023-12-24
Fish Food Flakes,153.49,19,2023-12-23
Otocinclus Catfish,90.09,15,2024-06-15
Fish Food Pellets,33.97,2,2024-04-03
Air Pump,6.18,14,2024-09-06
Aquarium Filter - Large,73.88,7,2024-06-02
Platy,158.94,15,2024-05-02
Fish Food Pellets,77.69,1,2023-09-23
Aquarium Heater,35.25,18,2024-01-10
Quarantine Tank,151.91,1,2024-08-07
Air Stone,193.02,8,2024-06-12
Goldfish,118.53,13,2023-10-12
Siamese Algae Eater,192.63,2,2024-03-16
Artificial Plants,133.62,8,2024-04-07
Live Aquarium Plants - Anubias,118.51,5,2023-11-12
Aquarium Moss,73.59,4,2024-04-22
pH Adjuster,41.56,11,2024-03-01
Fish Tank - 50 Gallon,44.79,20,2024-06-27
LED Aquarium Light,119.96,20,2024-07-29
Aquarium Stand,48.91,17,2024-06-14
Quarantine Tank,97.47,15,2024-02-06
Air Stone,106.44,16,2024-07-10
Automatic Fish Feeder,41.12,6,2023-10-07
Algae Wafers,91.76,11,2024-06-06
Bio Balls,40.28,16,2024-07-09
Zebra Danio,130.61,13,2023-12-31
Algae Scrubber,9.95,19,2024-05-17
Betta Fish,47.18,17,2024-03-07
Air Pump,165.92,3,2024-05-08
Angelfish,90.62,3,2024-01-25
Goldfish,38.33,8,2023-10-25
Breeding Box,167.7,17,2024-01-03
Aquarium Background,32.8,9,2024-06-21
Corydoras Catfish,58.53,6,2024-05-21
Decorative Rocks,86.81,19,2024-04-15
Aquarium Filter - Small,119.82,11,2024-06-17
Artificial Plants,44.7,5,2024-07-24
Aquarium Filter - Large,70.37,20,2024-05-28
Corydoras Catfish,83.47,15,2024-06-17
Platy,145.02,3,2024-05-24
Clown Loach,142.93,11,2024-03-21
Automatic Fish Feeder,95.16,15,2023-12-22
Fish Tank - 50 Gallon,160.9,20,2024-01-25
Neon Tetra,178.05,3,2024-03-17
Rainbow Shark,192.64,14,2024-03-22
Aquarium Heater,132.95,18,2024-05-18
Platy,101.96,9,2024-02-22
Automatic Fish Feeder,183.27,9,2023-10-01
Rainbow Shark,75.62,14,2024-05-03
Air Pump,63.22,1,2023-12-24
Fish Tank - 5 Gallon,152.02,5,2024-02-02
Corydoras Catfish,80.28,8,2023-11-07
Algae Wafers,43.6,5,2024-07-26
Zebra Danio,188.99,8,2024-04-21
Discus,161.71,4,2024-07-05
Molly,43.81,1,2024-03-08
pH Adjuster,127.7,14,2024-08-29
Frozen Bloodworms,129.49,3,2024-08-08
Fish Tank - 10 Gallon,154.29,14,2024-01-21
Bacterial Supplement,144.1,14,2024-06-04
Gravel Vacuum,27.79,3,2023-12-01
Molly,182.4,13,2024-04-18
Gravel Vacuum,7.27,6,2024-07-10
Ammonia Remover,40.88,20,2024-05-13
Clown Loach,177.52,5,2023-12-09
Filter Cartridges,91.64,18,2024-08-21
Discus,107.57,18,2024-04-14
Bio Balls,112.21,5,2023-10-02
Filter Cartridges,10.6,16,2024-08-11
Gravel Vacuum,36.28,13,2024-06-25
pH Adjuster,190.23,6,2023-11-21
Sand Substrate,42.03,5,2024-05-09
Live Aquarium Plants - Java Fern,162.34,12,2023-12-18
Otocinclus Catfish,164.25,13,2024-02-08
Aquarium Background,91.47,12,2024-07-14
Corydoras Catfish,74.92,19,2023-11-03
Betta Fish,157.87,4,2024-08-31
Aquarium Filter - Small,80.46,2,2023-09-29
Siamese Algae Eater,84.01,15,2024-01-23
Molly,115.71,15,2024-02-20
Fish Tank - 5 Gallon,46.65,15,2024-01-12
Fish Tank - 10 Gallon,77.2,13,2024-05-01
Cherry Barb,81.57,18,2023-10-23
Goldfish,8.84,13,2024-02-27
Air Stone,39.77,6,2024-08-18
Neon Tetra,121.95,11,2024-06-11
Neon Tetra,36.28,11,2024-01-13
Brine Shrimp,139.26,17,2024-07-21
Ceramic Ornaments,53.47,2,2023-10-03
Live Aquarium Plants - Anubias,196.3,8,2023-10-28
Zebra Danio,67.99,11,2023-12-08
Brine Shrimp,56.76,12,2024-06-21
Zebra Danio,77.49,5,2024-02-12
Angelfish,197.3,19,2024-05-28
Clown Loach,160.71,3,2024-04-04
Ceramic Ornaments,79.54,2,2024-02-14
Goldfish,174.89,20,2024-01-25
Brine Shrimp,96.32,10,2023-12-08
Guppy,113.05,11,2024-01-04
Sand Substrate,85.96,12,2024-02-24
Betta Fish,116.55,7,2024-06-23
Brine Shrimp,92.81,14,2023-12-15
Filter Cartridges,163.46,8,2024-08-18
Frozen Bloodworms,45.55,20,2024-02-18
Water Test Kit,22.94,14,2024-09-11
Neon Tetra,170.07,9,2024-08-09
pH Adjuster,54.42,9,2023-11-09
Discus,126.69,7,2023-12-28
Air Pump,151.89,19,2024-05-10
Platy,16.37,3,2024-09-11
Angelfish,38.21,19,2024-04-13
Corydoras Catfish,101.69,10,2024-09-11
Algae Scrubber,120.38,5,2023-12-28
Aquarium Filter - Large,196.65,12,2023-10-19
Rainbow Shark,196.77,3,2023-12-31
Algae Scrubber,99.8,1,2023-10-12
Aquarium Filter - Large,78.64,1,2023-09-30
Cherry Barb,113.08,12,2023-11-15
Driftwood,145.01,17,2024-03-10
Betta Tank,74.73,8,2024-03-28
Angelfish,5.11,18,2024-05-13
Brine Shrimp,86.14,18,2024-04-06
Breeding Box,31.46,18,2024-09-07
Breeding Box,126.91,17,2024-09-06
Gravel Vacuum,100.38,20,2023-12-11
Air Pump,73.1,12,2024-08-08
Betta Tank,138.5,15,2024-02-27
Air Stone,136.28,9,2024-07-20
LED Aquarium Light,84.88,12,2023-10-30
Driftwood,129.41,4,2023-10-15
Brine Shrimp,101.19,1,2023-11-02
Neon Tetra,122.44,1,2024-07-22
Betta Tank,96.41,9,2024-07-10
Aquarium Filter - Small,186.2,4,2023-09-23
Bio Balls,112.23,13,2024-09-05
Algae Scrubber,123.95,14,2023-12-23
Aquarium Heater,137.09,1,2024-04-20
Corydoras Catfish,194.45,7,2024-02-15
Aquarium Filter - Large,65.2,18,2024-01-06
Aquarium Background,34.39,15,2024-09-09
Check Valve,164.52,11,2024-08-15
Aquarium Filter - Small,77.18,17,2024-01-16
Fish Tank - 50 Gallon,86.43,1,2023-11-13
Filter Cartridges,18.43,13,2024-02-06
Otocinclus Catfish,21.77,20,2024-09-10
Bio Balls,185.86,7,2024-07-18
pH Adjuster,70.92,11,2024-07-03
Air Pump,44.8,13,2024-09-06
Betta Fish,18.93,16,2024-01-19
Thermometer,12.61,18,2023-10-17
Air Stone,155.01,9,2023-10-27
Algae Wafers,19.83,7,2024-05-24
Algae Scrubber,119.66,7,2023-12-31
Fish Food Flakes,156.49,5,2024-09-10
Fish Food Flakes,34.92,18,2023-11-11
Aquarium Filter - Medium,92.12,11,2024-07-27
Fish Net,79.21,18,2024-08-08
Betta Tank,165.78,6,2023-10-20
Aquarium Filter - Small,198.71,16,2024-01-21
Siamese Algae Eater,111.12,6,2024-05-29
Fish Net,155.81,10,2024-03-24
Algae Wafers,130.18,13,2024-01-13
Ammonia Remover,107.67,7,2024-09-09
Live Aquarium Plants - Java Fern,180.3,13,2024-03-20
Aquarium Filter - Large,141.85,13,2023-12-03
Aquarium Heater,161.97,6,2024-04-29
Aquarium Filter - Small,140.29,13,2024-05-15
Fish Tank - 20 Gallon,30.0,13,2024-03-20
Fish Net,140.88,8,2024-08-21
Aquarium Filter - Medium,147.86,16,2024-08-24
Aquarium Moss,54.11,11,2023-09-28
Air Stone,192.99,15,2024-06-27
Live Aquarium Plants - Java Fern,144.14,13,2023-12-18
Cherry Barb,146.13,13,2024-02-09
Zebra Danio,95.14,10,2023-11-16
Ammonia Remover,97.83,17,2024-03-02
Betta Fish,198.45,14,2024-05-27
Aquarium Moss,45.53,17,2024-08-26
Fish Tank - 20 Gallon,63.6,18,2024-06-13
Brine Shrimp,111.16,14,2024-07-12
Sand Substrate,114.32,14,2023-11-17
Rainbow Shark,166.95,8,2024-02-17
Aquarium Heater,45.61,19,2023-11-07
Discus,6.38,4,2024-05-13
Quarantine Tank,15.29,2,2024-05-23
Fish Tank - 10 Gallon,20.69,7,2024-02-13
Corydoras Catfish,38.07,7,2024-04-17
Automatic Fish Feeder,199.63,4,2023-11-24
Thermometer,133.11,8,2024-06-23
Gravel Substrate,151.55,9,2024-05-21
Live Aquarium Plants - Amazon Sword,123.11,19,2024-08-07
Live Aquarium Plants - Anubias,160.24,16,2024-08-04
Aquarium Filter - Large,75.35,14,2024-04-26
Brine Shrimp,112.64,3,2024-07-12
Aquarium Stand,197.03,18,2024-01-21
Live Aquarium Plants - Java Fern,42.12,11,2024-08-19
Angelfish,147.34,14,2024-07-15
Algae Control,137.21,5,2024-08-25
Fish Food Pellets,183.49,19,2024-09-22
Aquarium Stand,66.69,9,2024-08-11
Clown Loach,59.63,6,2023-11-08
Aquarium Stand,107.1,2,2024-02-23
Artificial Plants,106.09,16,2024-04-28
Betta Fish,172.27,11,2024-03-09
Thermometer,161.68,9,2024-03-14
Live Aquarium Plants - Anubias,33.42,11,2024-07-06
Betta Tank,6.79,15,2024-07-10
Neon Tetra,178.96,13,2024-06-24
Thermometer,64.01,8,2024-04-13
Quarantine Tank,26.76,19,2024-09-03
Goldfish,178.32,16,2024-03-19
Zebra Danio,143.93,14,2024-01-03
Live Aquarium Plants - Amazon Sword,65.88,13,2024-01-16
Sand Substrate,107.82,7,2024-07-22
Fish Tank - 10 Gallon,8.08,13,2024-04-01
Clown Loach,100.16,16,2024-01-29
Goldfish,16.86,13,2024-08-15
Aquarium Filter - Large,66.67,4,2023-12-26
Zebra Danio,67.82,13,2024-01-01
Brine Shrimp,26.29,7,2024-03-20
Fish Tank - 10 Gallon,48.41,14,2024-09-16
LED Aquarium Light,85.11,4,2023-11-27
Automatic Fish Feeder,136.42,9,2023-12-30
Sand Substrate,155.5,11,2024-09-07
Algae Wafers,10.24,8,2024-04-15
Fish Tank - 5 Gallon,148.13,17,2024-07-02
LED Aquarium Light,28.32,7,2024-02-13
Bacterial Supplement,90.62,12,2024-08-09
Quarantine Tank,6.93,2,2024-02-29
Decorative Rocks,81.33,16,2023-12-16
Platy,143.75,9,2024-04-03
Water Test Kit,6.75,20,2024-06-18
Aquarium Filter - Medium,112.17,10,2023-09-28
Fish Net,86.84,11,2024-02-18
Quarantine Tank,181.75,14,2024-04-24
Breeding Box,174.54,17,2024-07-16
Platy,89.31,6,2023-12-15
Water Conditioner,9.75,4,2024-08-03
Live Aquarium Plants - Anubias,167.21,20,2024-07-29
Decorative Rocks,33.53,1,2024-04-04
Frozen Bloodworms,28.17,15,2023-10-27
Clown Loach,147.01,5,2024-08-10
Aquarium Stand,140.74,12,2023-11-07
Betta Fish,109.05,4,2024-02-16
Guppy,161.13,9,2024-04-18
Goldfish,164.63,5,2024-04-11
Molly,32.59,15,2024-09-11
Gravel Substrate,55.53,3,2023-10-09
Air Stone,170.41,20,2023-10-15
Zebra Danio,140.88,11,2024-04-18
Clown Loach,161.14,4,2024-01-11
Angelfish,178.93,4,2024-04-27
Decorative Rocks,114.77,19,2023-11-23
Check Valve,64.8,9,2024-08-06
Gravel Substrate,31.18,2,2024-07-31
Algae Scrubber,13.61,2,2024-03-26
Filter Cartridges,36.54,18,2023-10-16
Automatic Fish Feeder,136.56,1,2024-05-19
Air Pump,80.85,16,2024-08-31
Breeding Box,116.49,6,2023-12-24
Thermometer,77.3,18,2024-06-13
Discus,34.26,20,2023-10-17
Check Valve,199.98,18,2024-09-18
Frozen Bloodworms,65.01,12,2024-03-29
Otocinclus Catfish,32.93,9,2023-10-10
Check Valve,32.18,3,2024-04-02
Artificial Plants,139.7,8,2024-05-06
Otocinclus Catfish,199.84,7,2024-06-14
Live Aquarium Plants - Java Fern,41.77,16,2024-08-04
Siamese Algae Eater,58.63,16,2024-02-01
Sand Substrate,179.8,20,2024-03-17
Breeding Box,199.77,7,2024-05-28
Platy,191.6,19,2023-11-21
Sand Substrate,146.26,4,2024-04-18
Fish Tank - 20 Gallon,197.92,14,2023-10-19
Gravel Vacuum,156.54,15,2024-07-07
Algae Control,129.81,9,2024-01-27
Fish Tank - 5 Gallon,167.13,19,2024-02-29
Air Pump,150.56,18,2024-06-27
Siamese Algae Eater,13.39,8,2024-06-24
Betta Tank,103.75,12,2023-12-29
Sand Substrate,9.47,6,2024-05-13
Aquarium Background,167.01,9,2024-01-22
Algae Wafers,136.57,11,2023-12-07
Aquarium Moss,51.69,11,2023-10-23
Aquarium Stand,178.19,7,2024-06-14
Algae Wafers,115.43,6,2024-04-07
Algae Scrubber,125.02,1,2023-11-04
Clown Loach,127.61,15,2023-11-25
Guppy,196.61,5,2024-01-30
Aquarium Filter - Large,191.43,5,2024-07-27
Filter Cartridges,164.64,6,2024-09-02
Clown Loach,189.5,11,2024-01-17
Live Aquarium Plants - Amazon Sword,167.72,11,2023-10-18
Ammonia Remover,186.12,12,2024-06-27
Otocinclus Catfish,11.92,11,2024-05-24
Aquarium Stand,88.11,4,2023-10-06
Water Conditioner,141.38,11,2024-05-14
pH Adjuster,12.07,12,2024-07-08
Platy,140.8,2,2024-01-24
Decorative Rocks,105.09,20,2024-07-07
Ceramic Ornaments,102.17,16,2024-03-04
Automatic Fish Feeder,155.92,17,2023-09-26
Fish Tank - 5 Gallon,164.96,14,2024-07-11
Siamese Algae Eater,42.2,20,2023-10-14
Aquarium Filter - Small,81.55,12,2023-09-30
LED Aquarium Light,18.04,16,2023-12-16
Corydoras Catfish,129.77,15,2024-04-30
Platy,102.84,6,2024-03-28
Discus,92.9,15,2024-01-30
Gravel Substrate,17.66,2,2024-02-25
Neon Tetra,111.58,3,2024-08-24
Ammonia Remover,92.9,17,2024-02-08
Filter Cartridges,46.55,16,2024-06-28
Algae Scrubber,48.3,20,2024-05-15
LED Aquarium Light,92.84,6,2024-07-05
Fish Food Pellets,112.99,14,2024-02-27
Otocinclus Catfish,82.24,1,2024-05-23
Aquarium Heater,135.1,18,2023-11-16
